#CCD ID   filter  a       aerr    b       berr    k       kerr
1	  r	  -25.44  0.02	  -0.10	  0.01	  0.10	  0.02
2	  r	  -25.37  0.02	  -0.10	  0.01	  0.10	  0.02
3	  r	  -25.41  0.02	  -0.09	  0.01	  0.10	  0.02
4	  r	  -25.35  0.02	  -0.10	  0.01	  0.10	  0.02
5	  r	  -25.32  0.02	  -0.10	  0.00	  0.10	  0.02
6	  r	  -25.54  0.02	  -0.09	  0.01	  0.10	  0.02
7	  r	  -25.39  0.02	  -0.10	  0.00	  0.10	  0.02
8	  r	  -25.53  0.02	  -0.10	  0.01	  0.10	  0.02
9	  r	  -25.48  0.02	  -0.10	  0.01	  0.10	  0.02
10	  r	  -25.40  0.02	  -0.09	  0.00	  0.10	  0.02
11	  r	  -25.44  0.02	  -0.10	  0.00	  0.10	  0.02
12	  r	  -25.41  0.02	  -0.10	  0.01	  0.10	  0.02
13	  r	  -25.41  0.02	  -0.10	  0.01	  0.10	  0.02
14	  r	  -25.46  0.02	  -0.10	  0.01	  0.10	  0.02
15	  r	  -25.50  0.02	  -0.10	  0.01	  0.10	  0.02
16	  r	  -25.46  0.02	  -0.10	  0.00	  0.10	  0.02
17	  r	  -25.50  0.02	  -0.10	  0.01	  0.10	  0.02
18	  r	  -25.42  0.02	  -0.10	  0.01	  0.10	  0.02
19	  r	  -25.52  0.02	  -0.11	  0.01	  0.10	  0.02
20	  r	  -25.48  0.02	  -0.10	  0.01	  0.10	  0.02
21	  r	  -25.51  0.02	  -0.09	  0.00	  0.10	  0.02
22	  r	  -25.56  0.02	  -0.10	  0.00	  0.10	  0.02
23	  r	  -25.44  0.02	  -0.09	  0.00	  0.10	  0.02
24	  r	  -25.45  0.02	  -0.10	  0.00	  0.10	  0.02
25	  r	  -25.47  0.02	  -0.10	  0.01	  0.10	  0.02
26	  r	  -25.55  0.02	  -0.10	  0.00	  0.10	  0.02
27	  r	  -25.50  0.02	  -0.11	  0.01	  0.10	  0.02
28	  r	  -25.50  0.02	  -0.10	  0.01	  0.10	  0.02
29	  r	  -25.49  0.02	  -0.10	  0.01	  0.10	  0.02
30	  r	  -25.44  0.02	  -0.10	  0.00	  0.10	  0.02
31	  r	  -25.46  0.03	  -0.10	  0.01	  0.10	  0.02
32	  r	  -25.49  0.02	  -0.10	  0.00	  0.10	  0.02
33	  r	  -25.44  0.02	  -0.10	  0.01	  0.10	  0.02
34	  r	  -25.54  0.02	  -0.11	  0.01	  0.10	  0.02
35	  r	  -25.51  0.02	  -0.10	  0.01	  0.10	  0.02
36	  r	  -25.46  0.02	  -0.10	  0.00	  0.10	  0.02
37	  r	  -25.45  0.02	  -0.10	  0.01	  0.10	  0.02
38	  r	  -25.29  0.02	  -0.10	  0.00	  0.10	  0.02
39	  r	  -25.44  0.02	  -0.11	  0.01	  0.10	  0.02
40	  r	  -25.49  0.02	  -0.10	  0.01	  0.10	  0.02
41	  r	  -25.56  0.02	  -0.10	  0.00	  0.10	  0.02
42	  r	  -25.56  0.02	  -0.10	  0.00	  0.10	  0.02
43	  r	  -25.51  0.02	  -0.10	  0.00	  0.10	  0.02
44	  r	  -25.55  0.02	  -0.10	  0.01	  0.10	  0.02
45	  r	  -25.46  0.02	  -0.11	  0.01	  0.10	  0.02
46	  r	  -25.46  0.02	  -0.10	  0.01	  0.10	  0.02
47	  r	  -25.48  0.02	  -0.09	  0.01	  0.10	  0.02
48	  r	  -25.43  0.02	  -0.10	  0.01	  0.10	  0.02
49	  r	  -25.53  0.02	  -0.10	  0.00	  0.10	  0.02
50	  r	  -25.50  0.02	  -0.10	  0.01	  0.10	  0.02
51	  r	  -25.47  0.02	  -0.09	  0.00	  0.10	  0.02
52	  r	  -25.52  0.02	  -0.10	  0.01	  0.10	  0.02
53	  r	  -25.52  0.02	  -0.09	  0.00	  0.10	  0.02
54	  r	  -25.55  0.02	  -0.10	  0.01	  0.10	  0.02
55	  r	  -25.53  0.02	  -0.10	  0.01	  0.10	  0.02
56	  r	  -25.45  0.02	  -0.09	  0.00	  0.10	  0.02
57	  r	  -25.54  0.02	  -0.09	  0.00	  0.10	  0.02
58	  r	  -25.36  0.02	  -0.09	  0.00	  0.10	  0.02
59	  r	  -25.48  0.02	  -0.09	  0.01	  0.10	  0.02
60	  r	  -25.45  0.02	  -0.09	  0.01	  0.10	  0.02
61	  r	  -25.40  0.09	  -0.18	  0.10	  0.10	  0.02
62	  r	  -25.55  0.02	  -0.09	  0.00	  0.10	  0.02
